no.,Subclaim Shortname,Neutral Subclaim,Superclaim Shortname,Neutral Superclaim
30,LOCAL DEVELOPMENT,Wind energy projects have positive or negative effect on municipal development and expansion plans.,DISRUPTION OF INDUSTRIES & ACTIVITIES,Wind energy projects and/or its development affects other industries and activities.
31,CRITICAL INFRASTRUCTURE,Wind energy has positive of negative effect on critical infrastructure.,DISRUPTION OF INDUSTRIES & ACTIVITIES,Wind energy projects and/or its development affects other industries and activities.
32,MISINFORMATION & LACK OF TRANSPARENCY ,Public sentiment on wind energy development is affected - either positively or negatively - by misinformation or lack of transparency.,"ETHICS, MISINFORMATION & EQUITY","Wind energy development DOES or DOESN'T involve unethical practices, misinformation, and/or leads to inequitable benefits."
33,CONFLICTS OF INTEREST,"Organizations and/or individuals supporting wind energy have the best interests of the community at heart, or their intersts are aligned with stakeholder interests. OR, Organizations and/or individuals supporting wind energy have conflicts of interest. OR, Organizations and/or individuals supporting fossil fuel energy have conflicts of interest, and therefore wind energy projets are better by comparison.","ETHICS, MISINFORMATION & EQUITY","Wind energy development DOES or DOESN'T involve unethical practices, misinformation, and/or leads to inequitable benefits."
34,DISPROPORTIONATE BENEFITS,"Wind energy projects provide broad-based benefits to community members and other stakeholders, OR wind energy projects disproportionately benefit developers, financiers, and/or select landowners.","ETHICS, MISINFORMATION & EQUITY","Wind energy development DOES or DOESN'T involve unethical practices, misinformation, and/or leads to inequitable benefits."
35,COERCIVE & UNETHICAL TACTICS,"Wind energy developers use collaborateive and/or ethical tactics to engage in public decision-making, OR wind energy develpers use coercive and/or unethical tactics to influence public decision-making, suppress opposition and/or secure project approvals.","ETHICS, MISINFORMATION & EQUITY","Wind energy development DOES or DOESN'T involve unethical practices, misinformation, and/or leads to inequitable benefits."
36,INAPPROPRIATE SITING,"Wind energy projects are carefully and appropriately cited, leading to  leading to environmental, economic, health, safety and other benefits, OR wind energy projects are irresponsibly or inappropriately sited, leading to environmental, economic, health, safety and other concerns. ",LAW & REGULATION,Wind energy development IS or ISN'T insufficiently regulated.
37,INADEQUATE REGULATION,"Wind energy projects are adequately regulated to reduce environmental, health, safety, economic and other concerns, OR wind energy projects are inadequately regulated to reduce environmental, health, safety, economic and other concerns",LAW & REGULATION,Wind energy development IS or ISN'T insufficiently regulated.
38,VIOLATE EXISTING LAWS & REGULATIONS,"Wind energy projects comply with or align with existing laws and zoning regulations, or alternatively, they violate or clash with existing laws and zoning regulations. OR, fossil fuel energy projects  violate or clash with existing laws and zoning regulations, and wind energy represent a relative improvement.",LAW & REGULATION,Wind energy development IS or ISN'T insufficiently regulated.
39,COMPENSATION,"Wind energy developers are offering compensation to those impacted by wind energy projects, or they are not but should offer compensation to those impacted by the wind energy projects.",LAW & REGULATION,Wind energy development IS or ISN'T insufficiently regulated.
